"","Overall"
"tag_audio_quality",0.0240084693084693
"tag_background_noise",0.00853044733044733
"tag_participant_accent",0.0274317932706679
"tag_participant_clarity",0.015623687715793
"tag_clinician_interference",0.00266666666666667
"ADJP_.._JJ",0.0604296821967185
"Lu_C",0.0530497125134335
"Lu_C.S",0.0457120952342789
"Lu_C.T",0.0921191196059593
"Lu_CN",0.109097842133032
"Lu_CN.C",0.0829993289494073
"Lu_CN.T",0.045861742531517
"Lu_CP",0.0637722088113003
"Lu_CP.C",0.0500871089760704
"Lu_CP.T",0.0244972767315591
"Lu_CT",0.0423830438984574
"Lu_CT.T",0.0320913385088738
"Lu_DC",0.0567900480647322
"Lu_DC.C",0.06113358489224
"Lu_DC.T",0.100188248749373
"Lu_MLC",0.0686294185951798
"Lu_MLS",0.0403532116853545
"Lu_MLT",0.0802266235086507
"Lu_S",0.0438924082839607
"Lu_T",0.034059291566653
"Lu_T.S",0.0447260129845092
"Lu_VP",0.0646111644664029
"Lu_VP.T",0.05018872714587
"Lu_W",0.0680282985976678
"MATTR_10",0.104017571339362
"MATTR_20",0.0778021820974548
"MLU",0.0443515859863759
"NID",0.0426915579589492
"NOUN_age_of_acquisition",0.108213731433078
"NOUN_familiarity",0.0953056124243648
"NOUN_frequency",0.0549906815516175
"NOUN_imageability",0.0737273642309667
"NOUN_sentiment_arousal",0.0899179724613526
"NOUN_sentiment_dominance",0.0734712988919751
"NOUN_sentiment_valence",0.0733116157662011
"NP_.._PRP",0.0621682221358818
"PP_.._IN_NP",0.0469976410144477
"ROOT_.._FRAG",0.0575765070431659
"ROOT_.._S",0.0798454166465757
"S_.._NP_VP",0.0994005204297588
"TTR",0.104476070105231
"VERB_frequency",0.0628774728618857
"VERB_sentiment_arousal",0.0412526143355333
"VERB_sentiment_dominance",0.0823218219472022
"VERB_sentiment_valence",0.0878118002993231
"age_of_acquisition",0.0986081383419893
"articulation_rate",0.136992373017499
"ave_cos_dist",0.0415916900093371
"avg_word_duration",0.138195697108532
"avg_word_length",0.0969439636556724
"brunet",0.119738082508945
"category_function",0.0313983155856995
"category_inflected_verbs",0.121290573588122
"constituency_ADJP_count",0.107371555650274
"constituency_ADJP_type_prop",0.05456374709115
"constituency_ADJP_type_rate",0.0912290883185037
"constituency_ADVP_count",0.0943948924061604
"constituency_ADVP_type_prop",0.0764002735583253
"constituency_ADVP_type_rate",0.115376787460342
"constituency_NP_count",0.103917621546421
"constituency_NP_type_prop",0.0420730211406867
"constituency_NP_type_rate",0.143743199206576
"constituency_PP_count",0.0771978369400925
"constituency_PP_type_prop",0.0312524323051081
"constituency_PP_type_rate",0.0675387429693757
"constituency_ROOT_count",0.0588816578964627
"constituency_ROOT_type_rate",0.0422609855488788
"constituency_S_count",0.0787212797623357
"constituency_S_type_prop",0.064401616240902
"constituency_S_type_rate",0.0623168214438064
"constituency_VP_count",0.0753537513148136
"constituency_VP_type_prop",0.0411970632318657
"constituency_VP_type_rate",0.0769337566304534
"constituency_average_ADJP_length",0.0734272614518595
"constituency_average_ADVP_length",0.0657497561999549
"constituency_average_NP_length",0.0554677457918837
"constituency_average_PP_length",0.0591707741644128
"constituency_average_ROOT_length",0.0803849273497419
"constituency_average_S_length",0.0666713460881454
"constituency_average_VP_length",0.0724281010948836
"constituency_avg_depth",0.0705027766825141
